,organism,authors,collection_date,bioproject,sequence_name,gb-sample_name,gb-fasta_definition_line_modifiers,gb-title,gb-comment,src-Altitude,src-Bio_material,src-Breed,src-Cell_line,src-Cell_type,src-Clone,src-Collected_by,src-geo_loc_name,src-Cultivar,src-Culture_collection,src-Dev_stage,src-Ecotype,src-Fwd_primer_name,src-Fwd_primer_seq,src-Genotype,src-Haplogroup,src-Haplotype,src-Host,src-Isolate,src-Isolation-source,src-Lab_host,src-Lat_Lon,src-Note,src-Rev_primer_name,src-Rev_primer_seq,src-Segment,src-Serotype,src-Serovar,src-Sex,src-Specimen_voucher,src-Strain,src-Sub_species,src-Tissue_lib,src-Tissue_type,src-Variety,cmt-StructuredCommentPrefix,cmt-StructuredCommentSuffix,cmt-Assembly Method,bs-sample_name,bs-sample_title,bs-sample_description,bs-strain,bs-isolate,bs-collected_by,bs-geo_loc_name,bs-host,bs-host_disease,bs-isolation_source,bs-lat_lon,bs-culture_collection,bs-genotype,bs-host_age,bs-host_description,bs-host_disease_outcome,bs-host_disease_stage,bs-host_health_state,bs-host_sex,bs-host_subject_id,bs-host_tissue_sampled,bs-passage_history,bs-pathotype,bs-serotype,bs-serovar,bs-specimen_voucher,bs-subgroup,bs-subtype,bs-title,bs-comment
required_column,Required,Required,Required,Required,Required,Required,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Required,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Required,Required,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Required,Required,Required,Required,Required,Optional,"At least one field required. Group: At least one required: Group ""Organism","At least one field required. Group: At least one required: Group ""Organism",Required,Required,Required,Required,Required,Required,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional
description,The most descriptive organism name for the samples.,"Citing authors. List of <b>Last, First Middle, suffix</b> separated by a semicolon "";"" E.g.: ""Baker, Howard Henry, Jr.; Powell, Earl Alexander, III.;""","Collection date for sample. Must be in a valid format based on ISO 8601: ""YYYY-MM-DD"", ""YYYY-MM"", or ""YYYY"". Time is not supported.",NCBI BioProject ID.,Sequence identifier used in fasta file. This is used to create the fasta file for Genbank or GISAID by updating the sequence name in your fasta file to reflect the sample name for the specified database.,Identifier name used for GenBank. Max length is 50 characters.,"NCBI fasta definition line modifiers can be added here. As many modifiers as you like can be added, but each must bounded by a set of brackets. Some of the available keywords are listed at ""https://www.ncbi.nlm.nih.gov/genbank/mods_fastadefline/"".","Optional internal field for how the GenBank submission should be named when viewed from the NCBI submission portal, . If not provided, when performing submissions <--submission_name> with the suffix ""-GB"" will be used instead.",Optional internal field explaining the purpose of the submission for when interacting and resolving submission issues with NCBI.,Altitude in metres above or below sea level of where the sample was collected.,"An identifier for the biological material from which the nucleotide sequence was obtained, with optional institution code and collection code for the place where it is currently stored. This should be provided using the following format 'institution-code:collection-code:material_id'. material_id is mandatory, institution-code and collection-code are optional; institution-code is mandatory when collection-code is present. This qualifier should be used to annotate the identifiers of material in biological collections which include zoos and aquaria, stock centers, seed banks, germplasm repositories and DNA banks.",The named breed from which sequence was obtained (usually applied to domesticated mammals).,Cell line from which sequence was obtained.,Type of cell from which sequence was obtained.,Name of clone from which sequence was obtained.,Name of person who collected the sample.,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps"".",Cultivated variety of plant from which sequence was obtained.,"Institution code and identifier for the culture from which the nucleotide sequence was obtained, with optional collection code. This should be provided using the following format 'institution-code:collection-code:culture-id'. culture-id and institution-code are mandatory. This qualifier should be used to annotate live microbial and viral cultures, and cell lines that have been deposited in curated culture collections.",Developmental stage of organism.,The named ecotype (population adapted to a local habitat) from which sequence was obtained (customarily applied to populations of Arabidopsis thaliana).,name of forward PCR primer,nucleotide sequence of forward PCR primer,Genotype of the organism.,Name for a group of similar haplotypes that share some sequence variation,Haplotype of the organism.,"When the sequence submission is from an organism that exists in a symbiotic, parasitic, or other special relationship with some second organism, the 'host' modifier can be used to identify the name of the host species.",Identification or description of the specific individual from which this sequence was obtained.,Describes the local geographical source of the organism from which the sequence was obtained.,Laboratory host used to propagate the organism from which the sequence was obtained.,"Latitude and longitude, in decimal degrees, of where the sample was collected.",Any additional information that you wish to provide about the sequence.,name of reverse PCR primer,nucleotide sequence of reverse PCR primer,name of viral or phage segment sequenced,See Serogroup,See Serogroup,Sex of the organism from which the sequence was obtained.,"An identifier of the individual or collection of the source organism and the place where it is currently stored, usually an institution. This should be provided using the following format 'institution-code:collection-code:specimen-id'. specimen-id is mandatory, collection-code is optional; institution-code is mandatory when collection-code is provided. Examples: 99-SRNP UAM:Mamm:52179 personal collection:Joe Smith:99-SRNP AMCC:101706",Strain of organism from which sequence was obtained.,Subspecies of organism from which sequence was obtained.,Tissue library from which the sequence was obtained.,Type of tissue from which sequence was obtained.,Variety of organism from which sequence was obtained.,"Structured comment keyword. ONLY REQUIRED IF INCLUDING COMMENT FILE. For FLU use 'FluData', HIV use 'HIV-DataBaseData', and for COV and other organisms use 'Assembly-Data'.","Structured comment keyword. ONLY REQUIRED IF INCLUDING COMMENT FILE. For FLU use 'FluData', HIV use 'HIV-DataBaseData', and for COV and other organisms use 'Assembly-Data'.",ONLY REQUIRED IF INCLUDING COMMENT FILE. Process used to assemble genome.,Identifier name used for BioSample. Max length is 50 characters.,Descriptive title for sample.,Optional description for sample.,"At least one required: Group ""Organism"". microbial or eukaryotic strain name","At least one required: Group ""Organism"". identification or description of the specific individual from which this sample was obtained",Name of persons or institute who collected the sample,"Geographical origin of the sample; use the appropriate name from this list http://www.insdc.org/documents/country-qualifier-vocabulary. Use a colon to separate the country or ocean from more detailed information about the location, eg ""Canada: Vancouver"" or ""Germany: halfway down Zugspitze, Alps""","The natural (as opposed to laboratory) host to the organism from which the sample was obtained. Use the full taxonomic name, eg, ""Homo sapiens"".","Name of relevant disease, e.g. Salmonella gastroenteritis. Controlled vocabulary, http://bioportal.bioontology.org/ontologies/1009 or http://www.ncbi.nlm.nih.gov/mesh","Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived.","The geographical coordinates of the location where the sample was collected. Specify as degrees latitude and longitude in format ""d[d.dddd] N|S d[dd.dddd] W|E"", eg, 38.98 N 77.11 W","Name of source institute and unique culture identifier. See the description for the proper format and list of allowed institutes, http://www.insdc.org/controlled-vocabulary-culturecollection-qualifier",observed genotype,Age of host at the time of sampling,Additional information not included in other defined vocabulary fields,"Final outcome of disease, e.g., death, chronic disease, recovery",Stage of disease at the time of sampling,Information regarding health state of the individual sampled at the time of sampling,Biological sex of the host,"a unique identifier by which each subject can be referred to, de-identified, e.g. #131","name of body site where the sample was obtained from, such as a specific organ or tissue, e.g., tongue, lung. For foundational model of anatomy ontology (fma) (v 4.11.0) or Uber-anatomy ontology (UBERON) (v releases/2014-06-15) terms, please see http://purl.bioontology.org/ontology/FMA or http://purl.bioontology.org/ontology/UBERON",Number of passages and passage method,"Some bacterial specific pathotypes (example Eschericia coli - STEC, UPEC)","Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serogroup. e.g. serotype=""H1N1"" in Influenza A virus CY098518.","Taxonomy below subspecies; a variety (in bacteria, fungi or virus) usually based on its antigenic properties. Same as serovar and serotype. Sometimes used as species identifier in bacteria with shaky taxonomy, e.g. Leptospira, serovar saopaolo S76607 (65357 in Entrez).","Identifier for the physical specimen. Use format: ""[<institution-code>:[<collection-code>:]]<specimen_id>"", eg, ""UAM:Mamm:52179"". Intended as a reference to the physical specimen that remains after it was analyzed. If the specimen was destroyed in the process of analysis, electronic images (e-vouchers) are an adequate substitute for a physical voucher specimen. Ideally the specimens will be deposited in a curated museum, herbarium, or frozen tissue collection, but often they will remain in a personal or laboratory collection for some time before they are deposited in a curated collection. There are three forms of specimen_voucher qualifiers. If the text of the qualifier includes one or more colons it is a 'structured voucher'. Structured vouchers include institution-codes (and optional collection-codes) taken from a controlled vocabulary maintained by the INSDC that denotes the museum or herbarium collection where the specimen resides, please visit: http://www.insdc.org/controlled-vocabulary-specimenvoucher-qualifier.",Taxonomy below subspecies; sometimes used in viruses to denote subgroups taken from a single isolate.,"Used as classifier in viruses (e.g. HIV type 1, Group M, Subtype A).","Optional internal field for how the BioSample submission should be named when viewed from the NCBI submission portal. If not provided, when performing submissions <--submission_name> with the suffix ""-BS"" will be used instead.",Optional internal field explaining the purpose of the submission for when interacting and resolving submission issues with NCBI.
